PercPrey-Ini,PercPred-Ini,PercPrey-Final,PercPred-Final
0.0,0.78,0.0,0.0
0.0,0.79,0.0,0.0
0.0,0.8,0.0,0.0
0.0,0.81,0.0,0.0
0.0,0.8200000000000001,0.0,0.0
0.0,0.8300000000000001,0.0,0.0
0.0,0.84,0.0,0.0
0.0,0.85,0.0,0.0
0.0,0.86,0.0,0.0
0.0,0.87,0.0,0.0
0.0,0.88,0.0,0.0
0.0,0.89,0.0,0.0
0.0,0.9,0.0,0.0
0.0,0.91,0.0,0.0
0.0,0.92,0.0,0.0
0.0,0.93,0.0,0.0
0.0,0.9400000000000001,0.0,0.0
0.0,0.9500000000000001,0.0,0.0
0.0,0.96,0.0,0.0
0.0,0.97,0.0,0.0
0.0,0.98,0.0,0.0
0.0,0.99,0.0,0.0
0.01,0.0,1.0,0.0
0.01,0.01,1.0,0.0
0.01,0.02,1.0,0.0
0.01,0.03,1.0,0.0
0.01,0.04,0.6510499715805054,0.019899999722838402
0.01,0.05,0.06825000047683716,0.018050000071525574
0.01,0.06,0.11500000208616257,0.027300000190734863
0.01,0.07,0.5982249975204468,0.02850000001490116
0.01,0.08,0.014050000347197056,0.006974999792873859
0.01,0.09,0.23770000040531158,0.03709999844431877
0.01,0.1,0.5824750065803528,0.02539999969303608
0.01,0.11,0.8129500150680542,0.014000000432133675
0.01,0.12,0.5371500253677368,0.020400000736117363
0.01,0.13,0.19050000607967377,0.024150000885128975
0.01,0.14,0.3608500063419342,0.02474999986588955
0.01,0.15,0.2212499976158142,0.023800000548362732
0.01,0.16,0.06525000184774399,0.023125000298023224
0.01,0.17,0.3188750147819519,0.019950000569224358
0.01,0.18,0.12925000488758087,0.019725000485777855
0.01,0.19,0.00432500010356307,0.0031500000040978193
0.01,0.2,0.15725000202655792,0.02085000090301037
0.01,0.21,0.04142500087618828,0.010999999940395355
0.01,0.22,0.019625000655651093,0.011549999937415123
0.01,0.23,0.002575000049546361,0.0025500000920146704
0.01,0.24,0.13342499732971191,0.014150000177323818
0.01,0.25,0.089649997651577,0.023125000298023224
0.01,0.26,0.07697500288486481,0.03150000050663948
0.01,0.27,0.11172500252723694,0.01600000075995922
0.01,0.28,0.06894999742507935,0.014499999582767487
0.01,0.29,0.21677500009536743,0.024150000885128975
0.01,0.3,0.17292499542236328,0.020099999383091927
0.01,0.31,0.10824999958276749,0.02329999953508377
